sheet,excel_row,source_id,no,season,making,type,project,picture,size_range,qty,material,colour,remarks,season_normalized,making_normalized,type_normalized,project_normalized
SUMMER HEEL,3,SUMMER HEEL::3,1,WINTER / SUMMER,CONVYER,LADIES,7026,.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,7026
SUMMER HEEL,4,SUMMER HEEL::4,2,WINTER / SUMMER,CONVYER,LADIES,"SLIP
(40179)",.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,SLIP (40179)
SUMMER HEEL,5,SUMMER HEEL::5,3,WINTER / SUMMER,CONVYER,LADIES,Breeze,.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,BREEZE
SUMMER HEEL,6,SUMMER HEEL::6,4,SUMMER,CONVYER,LADIES,7070,.,37,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,7070
SUMMER HEEL,7,SUMMER HEEL::7,5,SUMMER,CONVYER,LADIES,714,.,37,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,714
SUMMER HEEL,8,SUMMER HEEL::8,6,WINTER / SUMMER,CONVYER,LADIES,KELLY,.,37,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,KELLY
SUMMER HEEL,9,SUMMER HEEL::9,7,SUMMER,CONVYER,LADIES,3232,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,3232
SUMMER HEEL,10,SUMMER HEEL::10,8,SUMMER,CONVYER,LADIES,Bonita,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,BONITA
SUMMER HEEL,11,SUMMER HEEL::11,9,WINTER / SUMMER,CONVYER,LADIES,Reef,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,REEF
SUMMER HEEL,12,SUMMER HEEL::12,10,WINTER / SUMMER,CONVYER,LADIES,Zeeta paint,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,ZEETA PAINT
SUMMER HEEL,13,SUMMER HEEL::13,11,SUMMER,CONVYER,LADIES,ZETA R,Picture,37,Proto,TPR,Black,,SUMMER,CONVEYOR,LADIES,ZETA R
SUMMER HEEL,14,SUMMER HEEL::14,12,SUMMER,CONVYER,LADIES,ZETA T,Picture,37,Proto,TPR,Black,,SUMMER,CONVEYOR,LADIES,ZETA T
SUMMER HEEL,15,SUMMER HEEL::15,13,WINTER / SUMMER,CONVYER,LADIES,ORION,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,ORION
SUMMER HEEL,16,SUMMER HEEL::16,14,WINTER / SUMMER,CONVYER,LADIES,River,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,RIVER
SUMMER HEEL,17,SUMMER HEEL::17,15,SUMMER,CONVYER,LADIES,2927,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,2927
SUMMER HEEL,18,SUMMER HEEL::18,16,WINTER / SUMMER,CONVYER,LADIES,7029,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,7029
SUMMER HEEL,19,SUMMER HEEL::19,17,SUMMER,CONVYER,LADIES,Star,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,STAR
SUMMER HEEL,20,SUMMER HEEL::20,18,SUMMER,CONVYER,LADIES,7046,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,7046
SUMMER HEEL,21,SUMMER HEEL::21,19,WINTER / SUMMER,CONVYER,LADIES,C-Height,,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,C-HEIGHT
SUMMER HEEL,22,SUMMER HEEL::22,20,WINTER / SUMMER,CONVYER,LADIES,Cara,.,37/M,.,HEEL+TPR,.,,WINTER / SUMMER,CONVEYOR,LADIES,CARA
SUMMER HEEL,23,SUMMER HEEL::23,21,WINTER / SUMMER,CONVYER,LADIES,40179,.,37/M,.,HEEL,.,,WINTER / SUMMER,CONVEYOR,LADIES,40179
SUMMER HEEL,24,SUMMER HEEL::24,22,SUMMER,CONVYER,LADIES,C-15,.,37/M,.,HEEL,.,,SUMMER,CONVEYOR,LADIES,C-15
