sheet,excel_row,project_raw,season,making,type,image_count,status,notes
SUMMER PU,63,Cork,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER DIP PU,3,BALLY,SUMMER,DIP,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER DIP PU,4,BUFFY,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,5,BIANCA,SUMMER,DIP,LADIES,8,NEEDS_REVIEW,BIANCA has 8 anchored images — verify all are product views
SUMMER DIP PU,6,BELTA,SUMMER,DIP,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER DIP PU,7,BENIN,SUMMER,DIP,"LADIES / 
KIDS",1,HAS_IMAGE,
SUMMER DIP PU,8,CREST,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,9,"ORBIT
2025",SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,10,MILTON,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,11,RATORUA,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,12,TIMARU,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,13,GISBORING,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,14,"JACK
",SUMMER,DIP,KIDS,1,HAS_IMAGE,
SUMMER DIP PU,15,"GIA
",SUMMER,DIP,KIDS,1,HAS_IMAGE,
SUMMER DIP PU,16,CHERRY,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,17,SUSAN,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,18,YURI,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,19,OSCAR,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PU,20,BUFFY,SUMMER,DIP,KIDS,2,HAS_IMAGE,2 images anchored to this row
SUMMER DIP PVC,3,NOVA,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PVC,4,CHIK,SUMMER,DIP,LADIES,1,HAS_IMAGE,
SUMMER DIP PVC,5,CALGORY,SUMMER,DIP,LADIES,2,HAS_IMAGE,2 images anchored to this row
SUMMER DIP PVC,6,RIPPLE,SUMMER,DIP,LADIES,3,HAS_IMAGE,3 images anchored to this row
SUMMER DIP PVC,7,DARFIELD,SUMMER,CONVYER,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
SUMMER DIP PVC,8,GL001,SUMMER,DIP,KIDS,2,HAS_IMAGE,2 images anchored to this row
SUMMER DIP PVC,9,Footbed,SUMMER,DIP,LADIES,0,NO_IMAGE,No drawing-anchor image mapped to this article row
